レース名,レース番号,レース種別,総周回数,日付,順位,コースID,プレイヤー名,チーム名,車両名,総合タイム,完走フラグ,ラップタイム詳細
"第1レース","1","","5","2025-07-27T05:19:42.075Z","1","1","のらとりえ","","","02:55.93","完走","1|00:59.44;2|00:20.85;3|00:36.75;4|00:37.38;5|00:21.51"
"第1レース","1","","5","2025-07-27T05:19:42.075Z","2","3","あゆみプランニング","","","03:25.30","未完走","1|00:11.38;2|02:29.88;3|00:14.07;4|00:15.00"
"第1レース","1","","5","2025-07-27T05:19:42.075Z","3","4","小山製作所","","","03:25.30","未完走","1|00:26.56;2|00:32.85;3|00:23.01;4|00:29.31"
"第1レース","1","","5","2025-07-27T05:19:42.075Z","4","2","タクミ製作所","","","03:25.30","未完走",""
"第2レース","2","","5","2025-07-27T05:34:00.687Z","1","1","鴻進テック","","","02:51.77","完走","1|00:52.64;2|00:35.57;3|00:40.32;4|00:27.00;5|00:16.23"
"第2レース","2","","5","2025-07-27T05:34:00.687Z","2","2","アタイス工業","","","03:36.59","未完走","1|00:12.23;2|01:36.63;3|00:16.80;4|01:02.94"
"第2レース","2","","5","2025-07-27T05:34:00.687Z","3","3","大阪府立東淀工業高等学校","","","03:36.59","未完走","1|00:31.07;2|00:40.29;3|00:46.08"
"第2レース","2","","5","2025-07-27T05:34:00.687Z","4","4","京都芸術大学③","","","03:36.59","未完走","1|02:49.25"
"第3レース","3","","5","2025-07-27T05:47:03.272Z","1","4","ニコニコ技術部","","アズパカ","01:36.53","完走","1|00:11.30;2|00:25.38;3|00:32.85;4|00:15.18;5|00:11.81"
"第3レース","3","","5","2025-07-27T05:47:03.272Z","2","1","やおりんゴム部","","","02:12.86","完走","1|00:29.54;2|00:17.07;3|00:20.94;4|00:33.78;5|00:31.53"
"第3レース","3","","5","2025-07-27T05:47:03.272Z","3","3","西原精工","","","02:17.87","完走","1|00:39.05;2|00:30.42;3|00:20.64;4|00:26.13;5|00:21.63"
"第3レース","3","","5","2025-07-27T05:47:03.272Z","4","2","専修大学北上高校","","イルカ","02:27.68","未完走",""
"第4レース","4","","5","2025-07-27T05:57:05.681Z","1","4","星翔高等学校","","ユーセイ","01:44.45","完走","1|00:23.87;2|00:20.67;3|00:12.24;4|00:34.65;5|00:13.01"
